
================================================================================================
SEED-VARIANCE BAND  (5 seeds)
================================================================================================
  one code state across all seeds: True  commits=['71de78afa645']
  metric                                                                 mean          min          max       cv
  fill_rate.mass_at_0_pct                                              1.9108        1.854        2.042   0.0397
  fill_rate.mass_at_1_pct                                              82.741       78.314       84.806   0.0308
  fill_rate.mean                                                      0.87788      0.84499      0.89314   0.0216
  fill_rate.p10                                                       0.25672      0.15385      0.32544   0.2467
  fill_rate.p50                                                             1            1            1   0.0000
  forward_plan.distinct_horizons_weeks                                     26           26           26   0.0000
  forward_plan.median_periods_per_published_version                        19           19           19   0.0000
  forward_plan.min_periods_per_published_version                           12           12           12   0.0000
  forward_plan.part_demand_distinct_horizon_days                           26           26           26   0.0000
  forward_plan.versions_per_target_period_max                               7            7            7   0.0000
  lead_time_days.late_vs_contract_pct                                  30.495       28.577       34.767   0.0816
  lead_time_days.median                                                29.934       29.255       31.633   0.0326
  lead_time_days.p90                                                   74.593       72.046       80.681   0.0470
  lead_time_days.p99                                                   175.57       171.51       185.22   0.0329
  lead_time_days.skewness                                               3.625       3.4261       3.7152   0.0319
  level4.arrival_cindex                                               0.64314      0.63633      0.64904   0.0082
  level4.arrival_cindex_baseline                                       0.5249      0.52275      0.52754   0.0046
  level4.cap_h0                                                       0.22585       0.2141      0.25727   0.0929
  level4.cap_h1                                                        0.2288      0.21792      0.25984   0.0905
  level4.cap_h4                                                       0.22846      0.21835      0.25856   0.0878
  level4.cap_h4_shuffled                                              0.22601      0.21404       0.2574   0.0927
  level4.cap_h_gain                                                 -0.011913    -0.020361    -0.004987   0.5560
  level4.capacity_mae                                                 0.22585       0.2141      0.25727   0.0929
  level4.capacity_mae_baseline                                        0.24348      0.23003      0.27384   0.0840
  level4.fill_crps                                                   0.099737     0.087008      0.13012   0.2041
  level4.fill_crps_baseline                                           0.10184     0.088364      0.13364   0.2092
  level4.fill_h0                                                     0.099733     0.087006      0.13005   0.2036
  level4.fill_h0_with_keys                                           0.099737     0.087008      0.13012   0.2041
  level4.fill_h4                                                     0.099812     0.087182      0.13005   0.2028
  level4.fill_h4_with_keys                                            0.09981     0.087171      0.13017   0.2037
  level4.fill_h_gain                                              -0.00090578   -0.0022077   0.00058955   1.5686
  level4.fill_h_gain_with_keys                                    -0.00078563    -0.002068    0.0011623   1.9134
  opening_stock_rollforward.balance_max_at_cut                          11789         9707        17700   0.2854
  opening_stock_rollforward.balance_p50_at_cut                          903.7        899.5          911   0.0052
  opening_stock_rollforward.channels_with_opening_stock                 14787        14750        14826   0.0019
  opening_stock_rollforward.mismatched_part_plants                          0            0            0   0.0000
  opening_stock_rollforward.opening_units_posted                   1.4565e+06   1.4372e+06   1.4846e+06   0.0143
  opening_stock_rollforward.part_plants_empty_at_open                   143.8          130          149   0.0546
  opening_stock_rollforward.weeks_with_any_negative_balance                 0            0            0   0.0000
  recording_lag_days.later_week_share_pct                              6.7994        6.745        6.845   0.0065
  recording_lag_days.max                                                  400          400          400   0.0000
  recording_lag_days.never_recorded_share_pct                          0.4004        0.396        0.406   0.0110
  recording_lag_days.p50                                                1.134         1.13         1.14   0.0048
  recording_lag_days.p90                                                 5.86         5.82         5.91   0.0071
  recording_lag_days.sd_over_mean                                      2.0702       2.0648       2.0761   0.0024
