id,entity_type,entity_id,delay_probability,shortage_risk,impact_score,confidence,risk_category,scoring_method,model_version,snapshot_t0,horizon_days,scored_at
7b1d5aca-6e2e-5af7-b0cb-bc3cc3ba0a2e,supplier,6bfe9d03-1d68-5349-a2e7-d2c71322d817,0.05,,0.0769,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:17:27+00
8a72f484-de5b-5fe4-9a8b-daef32cd37b2,supplier,bda40a80-19c9-5fe0-b729-308b0f59ad25,0.15,,0.1282,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:27:03+00
1fe7258c-954d-52f8-9643-4e851ffab211,supplier,4140807d-c496-53ae-8f87-15c93cde916b,0.15,,0.1343,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:23:04+00
47ce8b89-b570-575d-82ef-f85d6b65ffeb,supplier,6e1d922d-415a-53d0-97d8-f4767299c10e,0.15,,0.1563,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:11:19+00
c358f2da-a9f5-5c2b-90a3-3299d6b9303d,supplier,f0aa8198-c2d3-59dc-b748-7bbb43f72614,0.15,,0.1552,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:15:29+00
cb3d9754-4eed-52af-b27e-486207ad00b2,supplier,9ecc4544-0aaa-5d4b-a20b-19b8dce2c71c,0.15,,0.1319,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:17:17+00
11eb1a88-5c62-544b-8ead-e465038f419f,supplier,d56202a0-5ac9-5000-bdef-df809a781522,0.15,,0.1438,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:21:27+00
74314821-e546-5cbb-8822-8ce1f9068945,supplier,43b5c255-48c1-5b61-ab8b-8bc95266bb1f,0.3833,,0.2574,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:14:30+00
939d70d8-924b-52dc-a2e1-d927661ca2a6,supplier,feeb172c-57c6-5067-97db-54ddf632027a,0.15,,0.1618,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:06:50+00
ee3602a4-752d-5151-8c92-38d9d8b519b7,supplier,15a4b7b5-0940-5f38-887a-51e62e07c4cf,0.15,,0.1456,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:04:20+00
5838e0f6-8047-57d1-9a22-bfe5fa742361,supplier,ea95a540-f662-5975-8a79-88352e65c9c4,0.05,,0.0806,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:12:41+00
7db2c8fb-f81a-50d9-8771-d835123e18af,supplier,09b007da-c3cd-5c90-912c-64f13e0cb7eb,0.15,,0.1609,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:07:20+00
dd9db8d2-a3e6-5514-8b3b-df72f667f8ba,supplier,035f03a2-0aa4-54ab-b965-ffe92a15c554,0.425,,0.2705,0.7,medium,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:29:15+00
622998cc-0b39-51d9-9440-8e4fff36b593,supplier,a080f3ab-6ea0-59f4-b082-807399acde92,0.15,,0.1271,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:11:39+00
d6fba139-9933-5c2d-b1b8-35ca777e012c,supplier,962efb96-78cf-56c2-9668-d0081024f66b,0.15,,0.152,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:25:47+00
33505534-028c-5d45-a899-da1a387d0971,supplier,d21da0bc-d1b2-5971-a037-be72ab2d0b0f,0.15,,0.1345,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:02:11+00
f3c04151-3f0f-512d-9e8c-43cd0241207e,supplier,6e4b4b02-c6c9-56a6-899b-544e87e288d9,0.05,,0.0801,0.7,low,weighted_formula,formula-v0,2024-12-01 08:00:00+00,14,2025-01-02 09:16:43+00
