id,name,country,capacity_score,lead_time_days,reliability_history,is_active,created_at,updated_at
ce3f1829-b358-52a7-bd0e-9eb3d2d95666,GER-Poly Supply 26,Germany,83.95,12,0.8458,true,2025-01-02 09:10:57+00,2025-01-02 09:10:57+00
1cf67535-10cf-5364-a9c7-5b0562d7a6d6,CHI-Micro Supply 27,China,50.58,32,0.7598,true,2025-01-02 09:14:10+00,2025-01-02 09:14:10+00
b1482d47-285e-53ab-995d-cc9a8165b52c,IND-Global Supply 28,India,76.84,20,0.771,true,2025-01-02 09:03:35+00,2025-01-02 09:03:35+00
d48fc4d1-ee5a-5d55-92e3-efa651af5e0b,IND-Prime Supply 29,India,52.84,21,0.8676,true,2025-01-02 09:00:35+00,2025-01-02 09:00:35+00
7cff550d-7458-54fe-906b-849912e2bac5,USA-Nova Supply 30,USA,49.65,8,0.7707,true,2025-01-02 09:18:37+00,2025-01-02 09:18:37+00
3a67adbf-5513-5a16-82f1-1ee2075f84a5,CHI-Delta Supply 31,China,66.26,20,0.9095,true,2025-01-02 09:01:35+00,2025-01-02 09:01:35+00
1439fed7-3f86-5a06-ae10-6169b01a836b,GER-Precision Supply 32,Germany,115.55,14,0.9673,true,2025-01-02 09:22:40+00,2025-01-02 09:22:40+00
6bfe9d03-1d68-5349-a2e7-d2c71322d817,USA-Alloy Supply 33,USA,124.85,25,0.864,true,2025-01-02 09:02:37+00,2025-01-02 09:02:37+00
bda40a80-19c9-5fe0-b729-308b0f59ad25,MEX-Poly Supply 34,Mexico,70.03,13,0.7298,true,2025-01-02 09:01:19+00,2025-01-02 09:01:19+00
4140807d-c496-53ae-8f87-15c93cde916b,CHI-Micro Supply 35,China,31.4,19,0.8107,true,2025-01-02 09:27:20+00,2025-01-02 09:27:20+00
6e1d922d-415a-53d0-97d8-f4767299c10e,USA-Global Supply 36,USA,153.69,5,0.9225,true,2025-01-02 09:07:16+00,2025-01-02 09:07:16+00
f0aa8198-c2d3-59dc-b748-7bbb43f72614,GER-Prime Supply 37,Germany,73.68,8,0.9339,true,2025-01-02 09:27:57+00,2025-01-02 09:27:57+00
9ecc4544-0aaa-5d4b-a20b-19b8dce2c71c,CHI-Nova Supply 38,China,38.88,20,0.6678,true,2025-01-02 09:00:41+00,2025-01-02 09:00:41+00
d56202a0-5ac9-5000-bdef-df809a781522,CHI-Delta Supply 39,China,37.32,30,0.9573,true,2025-01-02 09:05:32+00,2025-01-02 09:05:32+00
43b5c255-48c1-5b61-ab8b-8bc95266bb1f,CHI-Precision Supply 40,China,97.59,25,0.8594,true,2025-01-02 09:06:07+00,2025-01-02 09:06:07+00
feeb172c-57c6-5067-97db-54ddf632027a,CHI-Alloy Supply 41,China,25.28,42,0.9655,true,2025-01-02 09:03:30+00,2025-01-02 09:03:30+00
15a4b7b5-0940-5f38-887a-51e62e07c4cf,GER-Poly Supply 42,Germany,36.92,6,0.8958,true,2025-01-02 09:24:25+00,2025-01-02 09:24:25+00
ea95a540-f662-5975-8a79-88352e65c9c4,GER-Micro Supply 43,Germany,141.45,18,0.8695,true,2025-01-02 09:04:46+00,2025-01-02 09:04:46+00
09b007da-c3cd-5c90-912c-64f13e0cb7eb,CHI-Global Supply 44,China,90.84,23,0.8729,true,2025-01-02 09:07:09+00,2025-01-02 09:07:09+00
035f03a2-0aa4-54ab-b965-ffe92a15c554,MEX-Prime Supply 45,Mexico,23.85,16,0.779,true,2025-01-02 09:19:52+00,2025-01-02 09:19:52+00
a080f3ab-6ea0-59f4-b082-807399acde92,IND-Nova Supply 46,India,44.24,23,0.746,true,2025-01-02 09:11:32+00,2025-01-02 09:11:32+00
962efb96-78cf-56c2-9668-d0081024f66b,GER-Delta Supply 47,Germany,84.64,11,0.9072,true,2025-01-02 09:12:24+00,2025-01-02 09:12:24+00
d21da0bc-d1b2-5971-a037-be72ab2d0b0f,CHI-Precision Supply 48,China,87.97,36,0.8481,true,2025-01-02 09:03:38+00,2025-01-02 09:03:38+00
6e4b4b02-c6c9-56a6-899b-544e87e288d9,CHI-Alloy Supply 49,China,91.4,33,0.8531,true,2025-01-02 09:06:06+00,2025-01-02 09:06:06+00
