id,carrier,origin_location,destination_location,as_of_date,on_time_rate_90d,shipment_count_90d,computed_at
f83d11d7-d540-5cb2-8ec6-ba369e5d2b37,FedEx Logistics,,,2024-12-01,0.6856,2885,2025-10-02 09:06:22+00
e606edde-bcfc-5601-b410-c6148d168e49,DB Schenker,,,2024-12-01,0.6969,2887,2025-10-02 09:27:03+00
83f7e814-5249-501c-ae9b-8e433fbd1530,Maersk Line,,,2025-01-01,0.7793,358,2025-10-02 09:04:33+00
3c4692c9-8a6d-58c4-8488-cb8dc9cb50ad,EverGreen Marine,,,2025-01-01,0.7722,360,2025-10-02 09:04:24+00
227fd4c9-2ae6-5011-bc07-3ff0c0697c8f,DHL Freight,,,2025-01-01,0.6603,2508,2025-10-02 09:04:09+00
f4074284-bddf-5ac5-9717-8a1f6ade167e,FedEx Logistics,,,2025-01-01,0.6679,2409,2025-10-02 09:28:45+00
4a52ed7c-6db6-5823-86bf-b91d6194e5ef,DB Schenker,,,2025-01-01,0.6707,2496,2025-10-02 09:23:29+00
790e4b85-395e-582e-8b2c-6e6d7161b70e,Maersk Line,,,2025-02-01,0.7697,304,2025-10-02 09:29:48+00
6d5fbe21-76a8-5319-904a-1fa5f15a0c28,EverGreen Marine,,,2025-02-01,0.787,324,2025-10-02 09:01:18+00
51d90b21-cae3-544e-ba5d-4640c5cc3f44,DHL Freight,,,2025-02-01,0.6713,1710,2025-10-02 09:02:04+00
693290ee-e8bf-5137-b07e-51328c938089,FedEx Logistics,,,2025-02-01,0.6791,1689,2025-10-02 09:04:35+00
d859f5f0-337b-575f-bf2c-16d9e4318588,DB Schenker,,,2025-02-01,0.6708,1713,2025-10-02 09:13:26+00
811ceac3-010d-5a33-889a-5bfe664fba13,Maersk Line,,,2025-03-01,0.7734,278,2025-10-02 09:03:20+00
6d496f03-94c2-5f19-8875-7885d1cc7fd2,EverGreen Marine,,,2025-03-01,0.824,267,2025-10-02 09:03:22+00
5ccd0597-46af-507d-a50c-cd63ef5c076f,DHL Freight,,,2025-03-01,0.7195,1337,2025-10-02 09:07:25+00
9368722f-8eec-5a23-8b98-2bb1adaa4d1c,FedEx Logistics,,,2025-03-01,0.7114,1258,2025-10-02 09:07:34+00
872a454f-93d4-5271-baee-343350d034dd,DB Schenker,,,2025-03-01,0.7126,1329,2025-10-02 09:21:26+00
88b828e5-321c-5456-83bf-d5f5e3b4d5d4,Maersk Line,,,2025-04-01,0.7815,270,2025-10-02 09:27:07+00
00782018-06b2-5ebd-b496-9c4792cd550b,EverGreen Marine,,,2025-04-01,0.8213,235,2025-10-02 09:15:37+00
75c11184-5209-5bda-8aa1-31e33919e82e,DHL Freight,,,2025-04-01,0.7353,1458,2025-10-02 09:22:00+00
ad7cefef-c93e-5daa-b3e4-f3cae4f1086d,FedEx Logistics,,,2025-04-01,0.7257,1422,2025-10-02 09:09:16+00
549cbd0a-d6ab-58b3-bb7a-980f5e0e8bb1,DB Schenker,,,2025-04-01,0.7601,1455,2025-10-02 09:26:11+00
e6f139fa-429a-5b2a-a924-d2850127a65d,Maersk Line,,,2025-05-01,0.8043,276,2025-10-02 09:03:52+00
37607612-ce6a-5383-aab2-ce85d947a2ff,EverGreen Marine,,,2025-05-01,0.8153,249,2025-10-02 09:04:27+00
d7714bfc-7efc-5786-8e45-68e2854e421b,DHL Freight,,,2025-05-01,0.7236,1523,2025-10-02 09:28:45+00
b5874af0-07ef-5e3c-8567-4ff04992da0b,FedEx Logistics,,,2025-05-01,0.7124,1516,2025-10-02 09:04:56+00
5f9a1b61-008d-5d09-b5d6-139c327b8902,DB Schenker,,,2025-05-01,0.7367,1546,2025-10-02 09:27:03+00
0440c3ce-ef3f-5137-a536-af0d0c2ccba4,Maersk Line,,,2025-06-01,0.7749,271,2025-10-02 09:25:29+00
270988d1-4f8a-5c67-ac26-57fd3a0e27e2,EverGreen Marine,,,2025-06-01,0.837,270,2025-10-02 09:27:45+00
ed4047d0-6e19-50b3-a504-d4bd40328ef7,DHL Freight,,,2025-06-01,0.7179,1517,2025-10-02 09:18:49+00
32660f5e-11d8-5a9e-8780-fb97567bc68f,FedEx Logistics,,,2025-06-01,0.7127,1542,2025-10-02 09:27:41+00
e32abccb-4a06-5a29-b438-420a64916841,DB Schenker,,,2025-06-01,0.7187,1518,2025-10-02 09:00:43+00
f6da2453-971d-579b-bf78-f1c868b8dfe5,Maersk Line,,,2025-07-01,0.7782,257,2025-10-02 09:09:32+00
34812390-4cd6-59fc-97b5-226fc59477ac,EverGreen Marine,,,2025-07-01,0.7935,276,2025-10-02 09:13:51+00
c23ccee3-3966-551e-b688-dac3fec9abd2,DHL Freight,,,2025-07-01,0.7139,1227,2025-10-02 09:25:45+00
20f5b84b-efdd-5adb-a3c3-2a6173ffc955,FedEx Logistics,,,2025-07-01,0.6992,1310,2025-10-02 09:01:21+00
9fe5e509-42b1-560f-b2ea-0bb4231d486b,DB Schenker,,,2025-07-01,0.6948,1281,2025-10-02 09:14:32+00
47f36bcc-b1ef-5c0e-932d-c665329b5a0a,Maersk Line,,,2025-08-01,0.7837,245,2025-10-02 09:27:31+00
f5cc89c8-0ee3-5fdb-9ea2-40c8fbb28ea7,EverGreen Marine,,,2025-08-01,0.8015,262,2025-10-02 09:01:00+00
249459c7-8a36-5ffc-9b86-577d46557d6e,DHL Freight,,,2025-08-01,0.7454,1206,2025-10-02 09:05:17+00
7d648d1f-567f-53d0-a02d-3dd2801b3446,FedEx Logistics,,,2025-08-01,0.7229,1234,2025-10-02 09:24:47+00
2f5baba2-dfcf-58c8-afd9-be2ca379df39,DB Schenker,,,2025-08-01,0.7209,1193,2025-10-02 09:28:20+00
271a7c2e-dac0-510c-b840-548d19d2c009,Maersk Line,,,2025-09-01,0.7899,238,2025-10-02 09:01:13+00
060e625c-b1b9-5224-a259-690d4ca8b28f,EverGreen Marine,,,2025-09-01,0.7888,232,2025-10-02 09:03:33+00
b623c1f8-ea6c-56dc-a129-191067d54ccb,DHL Freight,,,2025-09-01,0.765,1217,2025-10-02 09:16:05+00
edf2397b-decf-5d7f-9bc8-d1b1416b297d,FedEx Logistics,,,2025-09-01,0.7214,1249,2025-10-02 09:26:02+00
9a81c3d0-1573-5af5-9d17-a13ae09bb5a2,DB Schenker,,,2025-09-01,0.7258,1189,2025-10-02 09:21:24+00
